imaginaryid,poetname,poetId,cityname,cityId,relationship,destination,destination_id,speaker,speakerid,notes,source_poem,source_citation,original_source,source_greektext,source_translation,source_translator,source_notes,source_explicit
225,Corinna,104,Thespia,76,,,,,,,fr. 674,1,,Θέσπια καλλιγένεθλε φιλόξενε μωσοφίλειτε.,"Thespia of the beautiful offspring, lover of strangers, loved by the Muses.",Campbell,,
223,Corinna,104,Thebes,3,,,,,,,fr. 690,7,,γέγα[θεν δὲ πόνυς πο]δῦν χορὸς ἀν ἑπτάπουλον [πόλιν.,and the choir rejoices (in the toils of its feet?) in the seven-gated city,Campbell,,FALSE
201,Corinna,104,"Cephisus",202,,,,,,"""Scholiast refers to 'the river of Boeotia'""",fr. 692.2,2,,Καφι]σὸν εὔδενδρον,well-wooded Cephisus,Campbell,,
200,Corinna,104,Cephisus,202,,,,,,,fr. 692.3,1,,Καφι]σὸν εὐροὺ [ῥέοντα,widely (flowing Cephisus?),Campbell,,
206,Corinna,104,Euripus,206,,,,,,,"fr. 693.1",14,,δ᾿ ἐπ᾿ Εὐρίπυο [,on the Euripus,Campbell,,
216,Corinna,104,Olympus,100,,,,,,,"fr. 693.1",17,,]πων Ὀλουμπ[,Olympus,Campbell,,
209,Corinna,104,"Helicon",16,,,,,,,"fr. 693.5(c)",8,,]ελι[,(Helicon?),Campbell,,
207,Corinna,104,Gargara,171,,,,,,,fr. 694.1,6,,κὴ [          Γάρ]γαρα σκιό[εντα,and shadowy Gargara,Campbell,,
219,Corinna,104,Mt. Ptoios,219,,,,,,,fr. 694.1,1,,κὴ [     Πτ]οῖον ὄρος κ[,and the mountain Ptoios,Campbell,,
217,Corinna,104,Olympus,100,,,,,,,fr. 694.7,7,,]ν Ὀλυμπ[,Olympus,Campbell,,
232,Critias,105,Greece,,,,,,,,Critias 1,2-Jan,,"τὸν δὲ γυναικείων μελέων πλέξαντά ποτ᾿ ᾠδὰς / ἡδὺν Ἀνακρείοντα Τέως εἰς Ἑλλάδ᾿ ἀνῆγεν,","Teos brought to Greece the one who once wove songs with strains celebrating women, sweet Anacreon,",Gerber,,TRUE
243,Critias,105,Teos,42,,,,,,poet,Critias 1,2-Jan,,"τὸν δὲ γυναικείων μελέων πλέξαντά ποτ᾿ ᾠδὰς / ἡδὺν Ἀνακρείοντα Τέως εἰς Ἑλλάδ᾿ ἀνῆγεν,","Teos brought to Greece the one who once wove songs with strains celebrating women, sweet Anacreon,",Gerber,,TRUE
229,Critias,105,Caria,139,,,,,,goods,Critias 2,11,,φορτηγοὺς δ᾿ ἀκάτους Κᾶρες ἁλὸς ταμίαι.,"and Carians, stewards of the sea, cargo vessels.",Gerber,,TRUE
230,Critias,105,Chios,6,,,,,,goods,Critias 2,6-May,,εὐναίου δὲ λέχους †κάλλος† ἔχει / Μίλητός τε Χίος τ᾿ ἔναλος πόλις Οἰνοπίωνος.,"Miletus and Chios, Oenopian’s city by the sea, are famed(?) for the beauty of the marriage bed.",Gerber,,TRUE
231,Critias,105,Etruria,197,,,,,,goods,Critias 2,8-Jul,,"Τυρσηνὴ δὲ κρατεῖ χρυσότυπος φιάλη, / καὶ πᾶς χαλκὸς ὅτις κοσμεῖ δόμον ἔν τινι χρείᾳ.","The Etruscan bowl of beaten gold prevails, and all the bronze that adorns a house for any use.",Gerber,,TRUE
227,Critias,105,Marathon,28,,,,,,goods,Critias 2,14-Dec,,"τὸν δὲ τροχοῦ γαίας τε καμίνου τ᾿ ἔκγονον ηὗρεν / κλεινότατον κέραμον, χρήσιμον οἰκονόμον, / ἡ τὸ καλὸν Μαραθῶνι καταστήσασα τρόπαιον.","And she that set up the beautiful trophy at Marathon invented the offspring of wheel, earth, and oven, pottery of highest fame, a useful housekeeper.",Gerber,,TRUE
234,Critias,105,Miletus,9,,,,,,goods,Critias 2,6-May,,εὐναίου δὲ λέχους †κάλλος† ἔχει / Μίλητός τε Χίος τ᾿ ἔναλος πόλις Οἰνοπίωνος.,"Miletus and Chios, Oenopian’s city by the sea, are famed(?) for the beauty of the marriage bed.",Gerber,,TRUE
235,Critias,105,Phoenicia,107,,,,,,"i.e. written language, goods?",Critias 2,9,,Φοίνικες δ᾿ ηὗρον γράμματ᾿ ἀλεξίλογα.,Phoenicians invented letters as a means of preserving discourse.,Gerber,,TRUE
236,Critias,105,Sicily,68,,,,,,,Critias 2,2-Jan,,"κότταβος ἐκ Σικελῆς ἐστι χθονός, ἐκπρεπὲς ἔργον, / ὃν σκοπὸν ἐς λατάγων τόξα καθιστάμεθα.","From the land of Sicily comes the cottabus, a remarkable achievement; we set it up as a target for shafts of wine drops. ",Gerber,,TRUE
244,Critias,105,Thebes,3,,,,,,goods,Critias 2,10,,"Θήβη δ᾿ ἁρματόεντα δίφρον συνεπήξατο πρώτη,","Thebes was the first to construct the carriage for a chariot,",Gerber,,TRUE
245,Critias,105,Thessaly,34,,,,,,goods,Critias 2,4,,Θεσσαλικὸς δὲ θρόνος γυίων τρυφερωτάτη ἕδρα.,A Thessalian chair is the most comfortable seat for the limbs.,Gerber,,TRUE
228,Critias,105,Athens,2,,,,,,person (hero?),Critias 4,2-Jan,,καὶ νῦν Κλεινίου υἱὸν Ἀθηναῖον στεφανώσω / Ἀλκιβιάδην νέοισιν ὑμνήσας τρόποις·,"And now I shall crown the Athenian son of Cleinias, Alcibiades, with a song in a new manner.",Gerber,,TRUE
226,Critias,105,Asia,133,,,,,,,Critias 6,5,,"ἄγγεα Λυδὴ χεὶρ ηὗρ᾿ Ἀσιατογενής,","A Lydian hand, born in Asia, invented (wine) vessels,",Gerber,,TRUE
233,Critias,105,Lydia,102,,,,,,,Critias 6,5,,"ἄγγεα Λυδὴ χεὶρ ηὗρ᾿ Ἀσιατογενής,","A Lydian hand, born in Asia, invented (wine) vessels,",Gerber,,TRUE
238,Critias,105,Sparta,10,,,,,,,Critias 6,1,,καὶ τόδ᾿ ἔθος Σπάρτῃ μελέτημά τε κείμενόν ἐστι·,This too is the custom and established practice at Sparta:,Gerber,,TRUE
239,Critias,105,Sparta,10,,,,,,,Critias 6,14,,οἱ Λακεδαιμονίων δὲ κόροι πίνουσι τοσοῦτον,But Spartan youths drink only enough (to turn?) their mind to cheerful,Gerber,,TRUE
240,Critias,105,Sparta,10,,,,,,,Critias 6,24,,"ἡ Λακεδαιμονίων δὲ δίαιθ᾿ ὁμαλῶς διάκειται,",But the Spartan way of life is evenly ordered:,Gerber,,TRUE
241,Critias,105,Sparta,10,,,,,,one of the seven sages (cf. Demodocus 6.1),Critias 7,2-Jan,,"ἦν Λακεδαιμόνιος Χίλων σοφός, ὃς τάδ᾿ ἔλεξε· / “μηδὲν ἄγαν, καιρῷ πάντα πρόσεστι καλά.”","It was Chilon, the Spartan sage, who said this: “Nothing in excess, to due measure belongs everything.""",Gerber,,TRUE
242,Critias,105,Sparta,10,,,,,,athletic victor,Critias 8,2-Jan,,"πλοῦτον μὲν Σκοπαδῶν, μεγαλοφροσύνην δὲ Κίμωνος, / νίκας δ᾿ Ἀρκεσίλα τοῦ Λακεδαιμονίου.","the wealth of the Scopadae, the magnanimity of Cimon, and the victories of the Spartan Arcesilaus.",Gerber,,TRUE
316,Pindar,149,Olympia,,,,,,,,P. O. 1,112,,παρ᾿ εὐδείελον ἐλθὼν Κρόνιον,when coming to Cronus’ sunny hill.,Race,,FALSE
247,Demodocus,107,Miletus,9,,,,,,,Demodocus 1,2-Jan,,"<καὶ τόδε Δημοδόκου·> Μιλήσιοι ἀξύνετοι μὲν / οὔκ εἰσιν, δρῶσιν δ᾽ οἷά περ ἀξύνετοι","<This too is by Demodocus.> The Milesians are not fools, but they act as fools do.",Gerber,,TRUE
246,Demodocus,107,Chios,6,,,,,,,Demodocus 2,2-Jan,,"καὶ τόδε Δημοδόκου· Χῖοι κακοί, οὐχ ὁ μέν, ὃς δ᾽ οὔ· / πάντες πλὴν Προκλέους—καὶ Προκλέης δὲ Χίος.","This too is by Demodocus. The Chians are base, not just one and another not, but all except Procles—and Procles is a Chian.",Gerber,,TRUE
248,Demodocus,107,Priene,196,,,,,,"Bias, one of the seven sages",Demodocus 6,1,,"ἣν τύχῃς τίνων, δικάζεο τὴν Πρηνίην δίκην.","If you happen to be paying requital, plead your case in the Prienian manner.",Gerber,,TRUE
249,Eumelus of Corinth,112,Ithome,183,,,,,,,Eumelus fr. 1,1,,τῷ γὰρ Ἰθωμάτᾳ καταθύμιος ἔπλετο Μοῖσα,For the god of Ithome took pleasure in the Muse,Campbell,,TRUE
250,Hermippus,115,Cylicrania,228,,,,,,,4,2-Jan,Ath. 11.461e,"εἰς τὸ <b>Κυλικράνων</b> βαδίζων σπληνόπεδον ἀφικόμην· / εἶδον οὖν τὴν Ἡράκλειαν, καὶ μάλ᾿ ὡραίαν πόλιν.","On my journey I came to the spleen-land of <b>the Cylicranians</b>; and so I saw Heracleia, a very beautiful city.",Gerber,,TRUE
251,Hermippus,115,Heracleia,74,,,,,,At the foot of Mt Oeta in southern Thessaly. See Scythinus test. 3.,4,2-Jan,Ath. 11.461e,"εἰς τὸ Κυλικράνων βαδίζων σπληνόπεδον ἀφικόμην· / εἶδον οὖν <b>τὴν Ἡράκλειαν</b>, καὶ μάλ᾿ ὡραίαν πόλιν.","On my journey I came to the spleen-land of the Cylicranians; and so I saw <b>Heracleia</b>, a very beautiful city.",Gerber,,TRUE
259,Hipponax,116,Clazomenae,75,,,,,,,1,1,"Iuba Artigraphus ap. Rufinum, comm. in metra Terent.","ὦ Κλαζομένιοι, Βούπαλος κατέκτεινεν.","People of Clazomenae, Bupalus has killed",Gerber,,TRUE
268,Hipponax,116,Corax,227,,,,,,,2,1,Tzetz. Chil. 10.370-374,Κοραξικὸν μὲν ἠμφιεσμένη λῶπος.,she clad in a Coraxian mantle,Gerber,,TRUE
263,Hipponax,116,Cyllene,115,,,,,,,3,1,Tzetz. in Lyc. 219,"ἔβωσε Μαίης παῖδα, Κυλλήνης πάλμυν.","he called upon Maia’s son, sultan of Cyllene",Gerber,,TRUE
300,Mimnermus,122,Paeonia,186,,,,,,in Thrace,Mimn. 17,2-Jan,,"Παίονας ἄνδρας ἄγων, ἵνα τε κλειτὸν γένος / ἵππων.","bringing men from Paeonia, where (there is) a famous race of horses",Gerber,,TRUE
258,Hipponax,116,Ionian Erythrae,254,,,,,,,12,3-Jan,Tzet. ad Posthom. 687,τούτοισι θηπέων τοὺς Ἐρυθραίων παῖδας ὁ μητροκοίτης Βούπαλος σὺν Ἀρήτῃ †καὶ ὑφέλξων τὸν δυσώνυμον ἄρτον.†,"Bupalus, the mother-fucker with Arete, fooling with these words (by these means?) the Erythraeans, preparing to draw back his damnable foreskin.",Gerber,,TRUE
270,Hipponax,116,Lampsacus,234,,,,,,Lampsacus is a town in the Troad on the Hellespont.,26,3,Ath. 7.304b,... ὥσπερ Λαμψακηνὸς εὐνοῦχος...,... like a eunuch from Lampsacus,Gerber,,TRUE
253,Hipponax,116,Miletus,9,,,,,,,27,2-Jan,Anon. π. βαρβ. καὶ σολοικ.,"καὶ τοὺς σολοίκους ἢν λάβωσι περνᾶσι,Φρύγας μὲν <b>ἐς Μίλητον</b> ἀλφιτεύσοντας.","and if they catch the soloeci they sell them, Phrygians <b>to Miletus</b> to grind barley",Gerber,,TRUE
265,Hipponax,116,Phrygia,128,,,,,,,27,2-Jan,Anon. π. βαρβ. καὶ σολοικ.,"καὶ τοὺς σολοίκους ἢν λάβωσι περνᾶσι, <b>Φρύγας</b> μὲν ἐς Μίλητον ἀλφιτεύσοντας.","and if they catch the soloeci they sell them, <b>Phrygians</b> to Miletus to grind barley",Gerber,,TRUE
252,Hipponax,116,Chios,6,,,,,,,30,2-Jan,Tzetz. ad π. μέτρων (Anecd. Ox. iii.308.26 Cramer),οὔ μοι δικαίως μοιχὸς ἁλῶναι δοκεῖ / Κριτίης ὁ Χῖος ἐν †τῷ κατωτικῷ† δούμῳ.,I don’t think that Critias the Chian was justly apprehended as an adulterer in the . . . assembly of women,Gerber,,TRUE
264,Hipponax,116,Cyllene,115,,,,,,,32,1,Tzetz. ad π. μέτρων (Anecd. Ox. iii.308.26 Cramer),"Ἑρμῆ, φίλ᾿ Ἑρμῆ, Μαιαδεῦ, Κυλλήνιε...","Hermes, dear Hermes, son of Maia, Cyllenian...",Gerber,,TRUE
260,Hipponax,116,Mt. Olympus,100,,,,,,,38,1,Tzetz. in Lyc. 690,"ὦ Ζεῦ, πάτερ <Ζεῦ>, θεῶν Ὀλυμπίων πάλμυ...","Zeus, father Zeus, sultan of the Olympian god...",Gerber,,TRUE
262,Hipponax,116,Lydia,102,,,,,,,42,2-Jan,Tzetz. ad π. μέτρων,†τέαρε[. . . . . ]δεύειε† τὴν ἐπὶ Σμύρνης ἴθι <b>διὰ Λυδῶν</b> παρὰ τὸν Ἀττάλεω τύμβον,go along the road to Smyrna <b>through Lydia</b> past the tomb of Attalus and the gravestone of Gyges,Gerber,,TRUE
273,Hipponax,116,Mytalis,238,,,,,,,42,4,Tzetz. ad π. μέτρων,"καὶ μνῆμα Τωτος, Μυτάλιδι πάλμυδος","and the memorial of Tos, sultan at Mytalis",Gerber,,TRUE
257,Hipponax,116,Smyrna,36,,,,,,,42,2-Jan,Tzetz. ad π. μέτρων,†τέαρε[. . . . . ]δεύειε† τὴν <b>ἐπὶ Σμύρνης</b> ἴθι διὰ Λυδῶν παρὰ τὸν Ἀττάλεω τύμβον,go along the road <b>to Smyrna</b> through Lydia past the tomb of Attalus and the gravestone of Gyges,Gerber,,TRUE
274,Hipponax,116,Phlyesia,239,,,,,,,47,2,Tzetz. exeg. Il. A 25,... πρὸς μὲν κυνήσεις τὸν Φλυησίων Ἑρμῆν.,you will make obeisance to Hermes of the Phlyesians,Gerber,,TRUE
255,Hipponax,116,Ephesus,11,,,,,,a district of Ephesus? the other places mentioned are parts of Ephesus?,50,1,Strabo 14.14,"καὶ τόπος δέ τις <b>τῆς Ἐφέσου Σμύρνα</b> ἐκαλεῖτο, ὡς δηλοῖ Ἱππῶναξ· οἴκει δ᾿ ὄπισθε τῆς πόλιος †ἐν Σμύρνῃ μεταξὺ Τρηχέης τε καὶ Λεπρῆς Ἀκτῆς.","And also a certain place <b>in Ephesus was called Smyrna</b>, as Hipponax makes clear: he (she) lived behind the city in Smyrna between Tracheia and Lepra Acte.",Gerber,,TRUE
254,Hipponax,116,Miletus,9,,,,,,,103,2,P. Oxy. xviii.2175 fr. 2,]ν ἐς Μίλητον ἐξεκ[,... to Miletus...,Gerber,,TRUE
269,Hipponax,116,Daskyleion,229,,,,,,There were several towns in Asia Minor with this name (see Stephanus of Byzantium s.v.). Perhaps it is here the town in Bithynia a few miles south of the Propontis.,104,23,P. Oxy. 2175 fr. 3 + 4,]ν Δασκυλείωι...,... Daskyleion...,Gerber,,TRUE
275,Hipponax,116,Salmydessus,241,,,,,,"On the southwest coast of the Black Sea. For more details see J. P. Stronk, “Wreckage at Salmydessos,” Talanta 18–19 (1986–87) 63–75.",115,5,P. Argent. 3 fr. 1.16,... κἀν <b>Σαλμυδ[ησσ]ῷι</b> γυμνὸν εὐφρονέσ[τατα Θρήϊκες ἀκρό[κ]ομοι λάβοιεν...,And <b>at Salmydessus</b> may the top-knotted Thracians give him naked a most kindly reception...,Gerber,,TRUE
276,Hipponax,116,Thrace,129,,,,,,,115,6,P. Argent. 3 fr. 1.16,... κἀν Σαλμυδ[ησσ]ῷι γυμνὸν εὐφρονέσ[τατα <b>Θρήϊκες</b> ἀκρό[κ]ομοι λάβοιεν...,And at Salmydessus may the top-knotted <b>Thracians</b> give him naked a most kindly reception...,Gerber,,TRUE
267,Hipponax,116,Priene,196,,,,,,,123,1,Strabo 14.1.12,καὶ δικάζεσθαι Βίαντος τοῦ Πριηνέως κρέσσον.,and to have a better judge than Bias of Priene,Gerber,,TRUE
271,Hipponax,116,Lebedos,235,,,,,,"Probably = vagina (see nn. on Arch. frr. 250, 251.4 and Henderson 22), especially if Bartalucci, Maia 16 (1964) 248, is right in analysing μοιμύλλειν as both ‘suck’ and ‘fuck, I pray’ (μοιμύλλειν). Also: Camandolus unknown, but presumably in the territory of Lebedos which lay between Teos and Colophon.",124,1,Sext. Emp. adv. math. 1.275,μηδὲ μοιμύλλειν Λεβεδίην ἰσχάδ᾿ ἐκ Καμανδωλοῦ.,and not to suck on a Lebedian dried fig from Camandolus,Gerber,,TRUE
266,Hipponax,116,Thrace,129,,,,,,a goddess?,127,1,Hesych. 'Κυβήβη',καὶ Διὸς κούρη Κυβήβη καὶ Θρεϊκίη Βενδῖς.,"and the daughter of Zeus, Cybebe, and Thracian Bendis.",Gerber,,TRUE
256,Hipponax,116,Ephesus,11,,,,,,,145,1,Ath. 9.374e,†ὡς† Ἐφεσίη δέλφαξ.,(like?) an Ephesian sow,Gerber,,TRUE
383,Simonides,135,Delos,5,,,,,,,519 fr.70,1,,...ἐς Δᾶλον[...,...to Delos...,Campbell,,TRUE
277,Hipponax,116,Sindike,242,,,,,,"Hesychius glosses the same two words with τὸ τῆς γυναικός, ‘female genitals.’ Similarly Stephanus of Byzantium s.v. Σίνδοι. Some retain πρὸς τὸ of the scholiast, assign it to Hipponax, supply γυμνὴ in front of it (“naked up to the Sindian fissure”) and combine the line with fr. 2. But see Degani, Studi 243 f.",2a,1,Schol. Ap. Rhod. 4.321,Σινδικὸν διάσφαγμα.,Sindian fissure,Gerber,,TRUE
293,Mimnermus,122,Asia,133,,Colophon,,,,,Mimn. 9,2,,ἱμερτὴν Ἀσίην νηυσὶν ἀφικόμεθα,we came on our ships to longed-for Asia,Gerber,,TRUE
261,Hipponax,116,Lydia,102,,,,,,Maeonian = Lydian,3a,2-Jan,Tzetz. ad Chil. 1.147,"Ἑρμῆ κυνάγχα, Μηιονιστὶ Κανδαῦλα, φωρῶν ἑταῖρε, δεῦρό μοι σκαπαρδεῦσαι.","Hermes, dog throttler, Candaules in Maeonian [i.e. Lydian], companion of thieves, come give me a hand(?).",Gerber,,FALSE
284,Ibycus,117,Cyprus,106,,,,Narrator,,,286,10,,...Κύπριδος...,...Cyprian...,Campbell,,TRUE
289,Ibycus,117,Thrace,129,,,,Narrator,,,286,9,,...Θρηίκιος Βορέας...,...Thracian north wind...,Campbell,,TRUE
285,Ibycus,117,Cyprus,106,,,,Narrator,,,288,2,,... Κύπρις...,...the Cyprian...,Campbell,,TRUE
278,Ibycus,117,Achaea,130,,,,Narrator,,,282(a),31,,... υἷ]ες Ἀχα[ι]ῶν...,...sons of the Achaeans...,Campbell,,TRUE
279,Ibycus,117,Argos,38,,Troy,109,Narrator,,,282(a),36 - 37,,...κάλλι]στος ἀπ᾿ Ἄργεος ... Κυάνι]ππ[ο]ς ἐς Ἴλιον...,"...from Argos to Ilium Cyanippus, the most handsome man...",Campbell,,TRUE
280,Ibycus,117,Argos,38,,Troy,109,Narrator,,,282(a),2-Jan,,. . . ]αι Δαρδανίδα Πριάμοιο μέγ᾿ ἄσ]τυ περικλεὲς ὄλβιον ἠνάρον Ἄργ]οθεν ὀρνυμένοι Ζη]νὸς μεγάλοιο βουλαῖς ξα]νθᾶς Ἑ̣λένας περὶ εἴδει δῆ]ριν πολύυμνον ἔχ[ο]ντες πό]λεμον κατὰ [δ]ακρ[υό]εντα...,". . . destroyed the great, glorious, blessed city of Priam, son of Dardanus, setting off from Argos by the plans of great Zeus, enduring much-sung strife over the beauty of auburn Helen in tearful war...",Campbell,,TRUE
281,Ibycus,117,Aulis,136,,Troy,109,Narrator,,,282(a),27,,ναῶν ῟ο[σσος ἀρι]θμὸς ἀπ᾿ Αὐλίδος Αἰγαῖον διὰ [πό]ντον ἀπ᾿ Ἄργεος ἠλύθο[ν ἐς Τροία]ν ἱπποτρόφο[ν...,... the great number of ships that came from Aulis across the Aegean sea from Argos to horse-rearing Troy...,Campbell,,TRUE
283,Ibycus,117,Cyprus,106,,,,Narrator,,,282(a),9,,. . .  Πέρ]γαμον δ᾿ ἀνέ[β]α ταλαπείριο[ν ἄ]τα χρυ]σοέθειραν δ[ι]ὰ Κύπριδα.,and ruin mounted long-suffering Pergamum thanks to the golden-haired Cyprian,Campbell,,TRUE
290,Ibycus,117,Troy,109,,,,Narrator,,,282(a),14,,...Τρο]ίας θ᾿ ὑψιπύλοιο...,... of high-gated Troy...,Campbell,,TRUE
544,Ibycus,117,Troy,109,,,,Narrator,,,282(a),36 - 37,,...κάλλι]στος ἀπ᾿ Ἄργεος ... Κυάνι]ππ[ο]ς ἐς Ἴλιον...,"...from Argos to Ilium Cyanippus, the most handsome man...",Campbell,,TRUE
545,Ibycus,117,Troy,109,,,,Narrator,,,282(a),2-Jan,,. . . ]αι Δαρδανίδα Πριάμοιο μέγ᾿ ἄσ]τυ περικλεὲς ὄλβιον ἠνάρον Ἄργ]οθεν ὀρνυμένοι Ζη]νὸς μεγάλοιο βουλαῖς ξα]νθᾶς Ἑ̣λένας περὶ εἴδει δῆ]ριν πολύυμνον ἔχ[ο]ντες πό]λεμον κατὰ [δ]ακρ[υό]εντα...,". . . destroyed the great, glorious, blessed city of Priam, son of Dardanus, setting off from Argos by the plans of great Zeus, enduring much-sung strife over the beauty of auburn Helen in tearful war...",Campbell,,TRUE
546,Ibycus,117,Troy,109,,,,Narrator,,,282(a),27,,ναῶν ῟ο[σσος ἀρι]θμὸς ἀπ᾿ Αὐλίδος Αἰγαῖον διὰ [πό]ντον ἀπ᾿ Ἄργεος ἠλύθο[ν ἐς Τροία]ν ἱπποτρόφο[ν...,... the great number of ships that came from Aulis across the Aegean sea from Argos to horse-rearing Troy...,Campbell,,TRUE
286,Ibycus,117,Ionia,93,,,,,,,282A,28,,...ἀν᾿ Ἰάονας...,...among Ionians...,Campbell,,TRUE
288,Ibycus,117,Sparta,10,,,,,,,282A,30,,...Λακ]εδαίμονα ναίο[υσι(ν)...,...dwell in Lacedaemon...,Campbell,,TRUE
287,Ibycus,117,Leontini,7,,,,,,,282B,2,,...αι Κρονίου πτυχαι· φα[ . . . Κ]ρόνιον ἐν Λεοντίνοις [...,...glen(s) of Cronion . . .: Cronion at Leontini...,Campbell,,FALSE
291,Ion of Chios,55,Chios,6,,,,,,,fr. eleg. 29,1,,"ὧν καὶ ὁ Χῖος Ἴων ἐστὶν περὶ τῆς ἑαυτοῦ πατρίδος λέγων· ""τήν ποτε Θησείδης ἔκτισεν Οἰνοπίων.""","Among them is the Chiot Ion, who says of his native city ""which once Theseus’ son Oenopion founded.""",Campbell,,
292,Melanippides,158,Syria,223,,,,,,,fr. 757,7,,<αἱ δ᾿> ἱερόδακρυν λίβανον εὐώ- δεις τε φοίνικας κασίαν τε ματεῦσαι τέρενα Σύρια σπέρματα,or again seeking out frankincense with its sacred tears and fragrant dates and the smooth Syrian grains of cassia.,Campbell,,
297,Mimnermus,122,Colophon,20,,,,,,,Mimn. 10,1,,"Κολοφῶνα δὲ Ἀνδραίμων Πύλιος (κτίζει), ὥς φησι καὶ Μίμνερμος ἐν τῇ Ναννοῖ","Andraemon of Pylos founded Colophon, as Mimnermus says in his Nanno",Gerber,,TRUE
294,Mimnermus,122,Colchis,140,,,,,,,Mimn. 11,2-Jan,,"οὐδέ κοτ᾿ ἂν μέγα κῶας ἀνήγαγεν αὐτὸς Ἰήσων / ἐξ Αἴης τελέσας ἀλγινόεσσαν ὁδόν,",Jason would never have brought back the great fleece from Aea on his own at the end of a painful,Gerber,,TRUE
295,Mimnermus,122,Colchis,140,,,,,,,Mimn. 11a,3-Jan,,"Αἰήταο πόλιν, τόθι τ᾿ ὠκέος Ἠελίοιο / ἀκτῖνες χρυσέῳ κείαται ἐν θαλάμῳ / Ὠκεανοῦ παρὰ χεῖλος, ἵν᾿ ᾤχετο θεῖος Ἰήσων.","Aeetes’ city, where the rays of the swift Sun lie in a golden storeroom at the edge of Oceanus, where god-like Jason went.",Gerber,,TRUE
298,Mimnermus,122,Ethiopia,185,,,,,,,Mimn. 12,9,,γαῖαν ἐς Αἰθιόπων,to the land of the Ethiopians,Gerber,,TRUE
348,Sappho,132,Olympus,100,,,,,,,Sapph. 1,4,,πάτρος δὲ δόμον λίποισα,leaving your father's...house,Campbell,not sure if there's an abbreviation for Sappho - couldn't find it in the OCD,TRUE
299,Mimnermus,122,Lydia,102,,,,,,,Mimn. 14,4-Feb,,"οἵ μιν ἴδον / Λυδῶν ἱππομάχων πυκινὰς κλονέοντα φάλαγγας / Ἕρμιον ἂμ πεδίον,",who saw him...routing the thick ranks of the Lydian cavalry on the plain of Hermus.,Gerber,,TRUE
301,Mimnermus,122,Phrygia,128,,,,,,flows into the Aegean north of Smyrna,Mimn. 14,4-Feb,,"οἵ μιν ἴδον / Λυδῶν ἱππομάχων πυκινὰς κλονέοντα φάλαγγας / Ἕρμιον ἂμ πεδίον,",who saw him...routing the thick ranks of the Lydian cavalry on the plain of Hermus.,Gerber,,TRUE
342,Sappho,132,Lesbos,126,,,,,,,Sapph. 106,1,,πέρροχος ὠς ὄτ᾿ ἄοιδος ὀ Λέσβιος ἀλλοδάποισιν,"Superior, as the Lesbian singer to those of other lands",Campbell,,TRUE
296,Mimnermus,122,Colophon,20,,Smyrna,,,,,Mimn. 9,4-Mar,,ἐς δ᾽ ἐρατὴν Κολοφῶνα Βίην ὑπέροπλον ἔχοντες / ἑζόμεθ᾽,with overwhelming force we settled in lovely Colophon,Gerber,,TRUE
302,Mimnermus,122,Pylos,184,,Asia,,,,,Mimn. 9,1,,...Πύλον Νηλήιον ἄστυ λιπόντες,"leaving Pylos, the city of Neleus",Gerber,,TRUE
303,Mimnermus,122,Smyrna,36,,,,,,,Mimn. 9,6,,θεῶν Βουλῇ Σμύρνην εἵλομεν Αἰολίδα,by the will of the gods we captured Aeolian Smyrna,Gerber,,TRUE
304,Philiadas,126,Helicon,16,,,,,,mountain,Philiadas 1,2-Jan,,"ἄνδρες θ᾿ οἵ ποτ᾿ ἔναιον ὑπὸ κροτάφοις / Ἑλικῶνος,λήματι τῶν αὐχεῖ Θεσπιὰς εὐρύχορος.",Spacious Thespiae takes pride in the spirit of those men who once dwelled beneath the brows of Helicon.,Gerber,,TRUE
305,Philiadas,126,Thespia,76,,,,,,in Boeotia,Philiadas 1,2-Jan,,"ἄνδρες θ᾿ οἵ ποτ᾿ ἔναιον ὑπὸ κροτάφοις / Ἑλικῶνος,λήματι τῶν αὐχεῖ Θεσπιὰς εὐρύχορος.",Spacious Thespiae takes pride in the spirit of those men who once dwelled beneath the brows of Helicon.,Gerber,,TRUE
306,Philoxenus of Cythera,24,Parnassus,216,,,,,,,fr. 829,1,,αὐτοὶ γὰρ διὰ Παρνασσοῦ χρυσορόφων Νυμφέων εἴσω θαλάμων,For they themselves on Parnassus within the gold-roofed chambers of the Nymphs,Campbell,,
307,Phocylides,127,Leros,47,,,,,,"I'm pretty sure this is the right place, an island off of Turkey",Phocylides 1,2-Jan,,"καὶ τόδε Φωκυλίδεω· Λέριοι κακοί, οὐχ ὁ μέν, ὃς δ᾿ οὔ· / πάντες πλὴν Προκλέους—καὶ Προκλέης Λέριος.","This too is by Phocylides. The Lerians are base, not just one and another not, but all except Procles—and Procles is a Lerian.",Gerber,,TRUE
308,Phocylides,127,Nineveh,195,,,,,,,Phocylides 4,2-Jan,,καὶ τόδε Φωκυλίδεω· πόλις ἐν σκοπέλῳ κατὰ κόσμον / οἰκέουσα σμικρὴ κρέσσων Νίνου ἀφραινούσης.,This too is by Phocylides. A small and orderly city on a height is superior to foolish Nineveh.,Gerber,,TRUE
